Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub
1365066635002920960,1365066635002920960,,1,0,1,2,0,2,0,0,0,0,28,0.000001,0
1015870262,1015870262,,1,0,1,2,0,2,0,0,0,0,28,0.000001,0
444225252,444225252,,3,5,8,4,5,9,4,0.363636,0.452381,0.000002,28,0.000006,0
231902290,231902290,,1,2,3,2,4,6,1,1,1,0,28,0.000001,0
507697095,507697095,,1,0,1,2,0,2,0,0,0,0,28,0.000001,0
3832977647,3832977647,,1,0,1,2,0,2,0,0,0,0,28,0.000001,0
1047429818004983808,1047429818004983808,,72,0,72,73,0,73,0,0,0,0,28,0.000029,0
955421331994050560,955421331994050560,,3,0,3,6,0,6,0,0,0,0,28,0.000001,0
1369903981510746112,1369903981510746112,,1,0,1,1,0,1,0,0,0,0,28,0.000001,0
529539409,529539409,,1,0,1,1,0,1,0,0,0,0,28,0.000001,0
1432291836920541184,1432291836920541184,,1,5,6,3,5,8,5,0.452874,0.477496,0.000006,28,0.000001,0.000109
975114092183777280,975114092183777280,,1,0,1,1,0,1,0,0,0,0,28,0.000001,0
1305769384510738432,1305769384510738432,,1,0,1,1,0,1,0,0,0,0,28,0.000001,0
2879293835,2879293835,,1,1,2,1,1,2,1,1,1,0,28,0.000001,0.000022
405832858,405832858,,1,1,2,1,1,2,1,1,1,0,28,0.000001,0
874298888,874298888,,0,0,0,0,0,0,0,0,0,0,7,0,0
959523213838610432,959523213838610432,,0,0,0,0,0,0,0,0,0,0,8,0,0
422706269,422706269,,0,4,4,0,5,5,7,0.269023,0.289321,0,206,0,0.004821
700665886823219200,700665886823219200,,4,2,6,7,4,11,1,1,1,0.000006,206,0.000141,0.000022
4645281629,4645281629,,2,7,9,2,7,9,6,0.365059,0.410099,0.000026,18,0.000145,0.036801
436206316,436206316,,1,0,1,1,0,1,0,0,0,0,206,0.000141,0
283416650,283416650,,328,4,332,328,7,335,6,0.393733,0.436217,0.001425,9,0.164622,0.022112
420419717,420419717,,0,1,1,0,1,1,9,0.247311,0.279001,0,15,0,0.001028
1181138850892193792,1181138850892193792,,0,2,2,0,2,2,9,0.225502,0.244848,0,5,0,0.000502
1165978022,1165978022,,12,65,77,13,66,79,8,0.278158,0.309036,0.000337,5,0.005113,0.000344
983761558470823936,983761558470823936,,20,119,139,28,173,201,9,0.264315,0.328634,0.000443,110,0.012072,0.001216
952256618263203840,952256618263203840,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
1450062950010691584,1450062950010691584,,0,1,1,0,1,1,1,1,1,0,9,0,0.000767
513262856,513262856,,65,0,65,65,0,65,0,0,0,0,9,0.026247,0
493949099,493949099,,0,3,3,0,3,3,8,0.239064,0.251833,0,14,0,0.018006
1194142449310011392,1194142449310011392,,3,1,4,3,1,4,7,0.272226,0.304285,0.000012,14,0.000649,0.002135
804717565,804717565,,3,10,13,3,10,13,7,0.296296,0.315671,0.000027,9,0.002145,0.000057
1417848702631387136,1417848702631387136,,0,2,2,0,2,2,9,0.251897,0.284672,0,5,0,0.001178
423259720,423259720,,0,1,1,0,1,1,8,0.214355,0.229599,0,14,0,0.000019
447170173,447170173,,0,3,3,0,3,3,7,0.334082,0.379265,0,14,0,0.004192
2248443018,2248443018,,7,0,7,7,0,7,0,0,0,0,14,0.000804,0
2436570624,2436570624,,0,0,0,0,0,0,0,0,0,0,10,0,0
917423697979478016,917423697979478016,,0,5,5,0,7,7,9,0.227588,0.24459,0,15,0,0.00022
960110310530142208,960110310530142208,,3,2,5,6,2,8,5,0.434783,0.467143,0.000004,15,0.000695,0.001609
489331719,489331719,,5,1,6,5,1,6,4,0.45,0.486111,0.000006,15,0.001698,0.00027
1424640035404537856,1424640035404537856,,1,1,2,1,1,2,7,0.283203,0.300698,0.000001,15,0.000006,0.004809
1036611673,1036611673,,2,12,14,2,12,14,9,0.24875,0.28787,0.000037,18,0.000016,0.011991
1431924203939368960,1431924203939368960,,0,1,1,0,1,1,1,1,1,0,9,0,0.000767
328473338,328473338,,0,7,7,0,8,8,7,0.275412,0.301855,0,14,0,0.040651
500882938,500882938,,9,15,24,12,15,27,8,0.250604,0.272409,0.000168,14,0.003849,0
543678565,543678565,,44,0,44,44,0,44,0,0,0,0,9,0.020961,0
1287416909676318720,1287416909676318720,,0,0,0,0,0,0,0,0,0,0,11,0,0
1063722252,1063722252,,0,1,1,0,1,1,1,1,1,0,28,0,0
1064261450,1064261450,,0,2,2,0,2,2,3,0.52381,0.575758,0,15,0,0.000795
712647058709155840,712647058709155840,,5,8,13,5,10,15,2,0.9,0.944444,0.000008,15,0.00098,0.021479
1341532922,1341532922,,0,1,1,0,1,1,1,1,1,0,9,0,0.000767
2170468774,2170468774,,0,2,2,0,2,2,9,0.217742,0.231007,0,9,0,0.000916
